Parallax,"""星察"""
The Gauss Collection,"""Gauss组合包"""
Harrow Reliquary Collection,"""Harrow圣物箱组合包"""
Harrow Reliquary Skin,"""Harrow圣物箱外观"""
Harrow Reliquary Helmet,"""Harrow圣物箱头盔"""
Shawzin,"""三线琴"""
Kitgun Riven Mod,"""组合枪裂罅MOD"""
Exalted Blade (Umbra),"""显赫刀剑Umbra"""
Regulators Prime,"""监察者双枪Prime"""
Wall Latch,"""壁面攀附"""
Pathocyst,"""病囊飞刃"""
Combat Discipline,"""战斗教条"""
Shepherd,"""牧羊人"""
Aerodynamic,"""空气动力"""
Melee Guidance,"""近战指引"""
Swift Momentum,"""迅敏动量"""
Arcane Bodyguard,"""卫士赋能"""
Arcane Blade Charger,"""刀刃充能赋能"""
Arcane Pistoleer,"""枪炮赋能"""
Arcane Primary Charger,"""主武充能赋能"""
Arcane Tanker,"""坦克赋能"""
Tekko Prime,"""铁钩手甲Prime"""
Dethcube Prime,"""死亡魔方Prime"""
Sprint Speed,"""冲刺速度"""
Emissary Sigil,"""使徒纹章"""
Gore Chance,"""分尸几率"""
HUD,"""抬头显示界面"""
Power Cell,"""能量电池"""
Universal Medallion,"""万用勋章"""
Lua Lens,"""月球晶体"""
Somatic Fibers,"""活体纤维"""
Zealoid Prelate,"""狂热主教"""
Zealoid Bastion,"""狂热护卫"""
Leaping Thrasher,"""鞭击奔跳者"""
Vapos Oxium Osprey,"""气雾奥席金属鱼鹰"""
Charger Specter Blueprint,"""疾冲者魅影蓝图"""
Ancient Healer Specter Blueprint,"""远古治愈者魅影蓝图"""
Clem Clone,"""Clem克隆人"""
Day Of The Dead Sigil,"""亡灵节纹章"""
Mod Drop Chance Booster,"""MOD掉落几率加成"""
Animo Nav Beacons,"""Animo导航信标"""
Judgement Points,"""裁定点数"""
Inactivity Penalty,"""消极惩罚"""
Parazon,"""灭骸之刃"""
Kuva Lich,"""赤毒玄骸"""
Kuva Karak,"""赤毒卡拉克"""
Kuva Quartakk,"""赤毒夸塔克"""
Kuva Ogris,"""赤毒食人女魔"""
Kuva Kohm,"""赤毒寇恩热能枪"""
Kuva Tonkor,"""赤毒征服榴炮"""
Kuva Drakgoon,"""赤毒龙骑兵"""
Kuva Twin Stubbas,"""赤毒双子史度巴"""
Kuva Seer,"""赤毒预言者"""
Kuva Kraken,"""赤毒北海巨妖"""
Kuva Brakk,"""赤毒布拉克"""
Kuva Chakkhurr,"""赤毒邪眼"""
Kuva Shildeg,"""赤毒希尔德"""
Kuva Ayanga,"""赤毒怒雷"""
Requiem Mods,"""安魂MOD"""
Requiem Relics,"""安魂遗物"""
Riven Sliver,"""裂罅碎块"""
Hard Landing,"""硬着陆"""
Breach Surge,"""裂口涌流"""
Sol Gate,"""太阳之门"""
Split Flights,"""分裂飞行"""
Photon Strike,"""光子轰击"""
Exothermic,"""释能放热"""
Healing Flame,"""治愈之焰"""
Immolated Radiance,"""献祭之辉"""
Intrinsics/Tactical,"""内源之力：战术"""
Intrinsics/Piloting,"""内源之力：操纵"""
Intrinsics/Gunnery,"""内源之力：枪炮"""
Intrinsics/Engineering,"""内源之力：工程"""
Intrinsics/Command,"""内源之力：命令"""
Intrinsics,"""内源之力"""
dirac,"""狄拉克核心"""
Erra (Quest),"""Erra (系列任务)"""
Shedu,"""舍杜"""
Empyrean,"""九重天"""
Symbilyst,"""共生使"""
Veil Proxima,"""面纱比邻星域"""
Earth Proxima,"""地球比邻星域"""
Saturn Proxima,"""土星比邻星域"""
Seeker Volley,"""追踪齐射"""
Avionic,"""航电设备"""
Fiery Phoenix,"""浴火凤凰"""
Void Hole,"""虚空虹洞"""
Ablative Shell,"""融蚀护壳"""
Integrated Avionics,"""综合航电设备"""
Drain,"""容量消耗"""
Bulkhead,"""坚壁不摧"""
Conic Nozzle,"""锥型推进器"""
Forward Artillery,"""前装光能炮"""
Forward Artillery(MOD),"""前装光能炮(MOD)"""
Heat Sink,"""散热装置"""
Hull Weave,"""舰体编铸"""
Hyperflux,"""超级通量"""
Hyperstrike,"""超量打击"""
Ion Burn,"""离子燃烧"""
Maxima,"""极限护盾"""
Phasic Weave,"""相位编织"""
Polar Coil,"""极性线圈"""
Breach Quanta,"""封隙量子"""
Ripload,"""撕裂装填"""
Section Density,"""截面密度"""
Thermatic,"""温度控制"""
Winged Force,"""展翼强御"""
Winged Steel,"""展翼锋刃"""
Battle Forge,"""战斗锻造"""
Fire Suppression,"""火势抑制"""
Flow Burn,"""热流涌动"""
Form Up,"""列阵归队"""
Intruder Stasis,"""侵入停滞"""
Squad Renew,"""小队治愈"""
Void Cloak,"""虚空隐匿"""
Battle Avionics,"""战斗航电设备"""
Blackout Pulse,"""熄扰脉冲"""
Munitions Vortex,"""弹药漩涡"""
Tether,"""束缚力场"""
Particle Ram,"""粒子冲撞"""
Shatter Burst,"""碎裂爆破"""
Last Stand,"""存亡之战"""
Anode Cell,"""阳极电池"""
Winged Storm,"""展翼猛攻"""
Winged Cyclone,"""展翼飓速"""
Corpus Datamass,"""Corpus数据块"""
Corpus Cipher,"""Corpus暗码"""
Stable Corruptor,"""Stable污染物"""
Alpha Corruptor,"""Alpha污染物"""
Beta Corruptor,"""Beta污染物"""
Sentient Core,"""Sentient核心"""
Fresnels,"""菲涅耳"""
Bracoid,"""孢卵菌"""
Aucrux Capacitors,"""奥克斯电容器"""
Trachons,"""感应喉管"""
Kesslers,"""太阳风导航仪"""
Gallos Rods,"""反物质燃料棒"""
Nullstones,"""虚无碎片"""
Komms,"""科姆斯通讯仪"""
Titanium,"""钛"""
Asterite,"""晶状彗星碎片"""
Asterite,"""晶状彗星碎片"""
Animo Nav Beacon,"""Animo 导航信标"""
Ordnances,"""火炮"""
Tycho Seeker,"""第谷追踪弹"""
Milati,"""米拉提"""
Galvarc,"""超压电弧"""
Apoc,"""天启炮台"""
Turrets,"""炮塔"""
Carcinnox,"""毒液穿甲炮"""
Pulsar,"""脉冲星"""
Cryophon,"""急冻粒子炮"""
Photor,"""光子聚熔炮"""
Wing Turrets,"""舰翼炮台"""
Nose Turret,"""舰首炮台"""
Dry Dock,"""干船坞"""
Rush Repair Drone,"""加速修复无人机"""
Ordnance,"""火炮"""
Manufacturing Requirements,"""制造需求"""
Caballero Railjack Skin,"""骑手航道星舰外观"""
Sungem Railjack Skin,"""耀阳航道星舰外观"""
Intrinsic,"""内源之力"""
Drop Tables,"""掉落表"""
Stress Test,"""压力测试"""
Alignment,"""阴阳倾向"""
K-Drive Race,"""K式悬浮板竞速"""
Trigger Type,"""射击类型"""
Damage Falloff,"""伤害衰减"""
Waypoint,"""路径点"""
Warhead (Avionic),"""湮灭弹头"""
Auto Breach,"""自动破解"""
Live Wire,"""火线电击"""
Runtime,"""溜之大吉"""
Untraceable,"""无迹可寻"""
Blood For Ammo,"""血易弹药"""
Blood For Energy,"""血易能量"""
Out Of Sight,"""视野之外"""
Flak,"""高炮战机"""
Kosma Flak,"""深空高炮战机"""
Exo Flak,"""邃域高炮战机"""
Gyre Flak,"""回旋高炮战机"""
Gokstad Crewship,"""高克斯塔战舰"""
Gyre Gokstad Crewship,"""回旋高克斯塔战舰"""
Exo Gokstad Crewship,"""邃域高克斯塔战舰"""
Kosma Outrider,"""深空先驱战机"""
Outrider,"""先驱战机"""
Taktis,"""战术战机"""
Cutter,"""切割战机"""
Kosma Gokstad Crewship,"""深空高克斯塔战舰"""
Kosma Taktis,"""深空战术战机"""
Kosma Cutter,"""深空切割战机"""
Gyre Outrider,"""回旋先驱战机"""
Gyre Taktis,"""回旋战术战机"""
Gyre Cutter,"""回旋切割战机"""
Exo Outrider,"""邃域先驱战机"""
Exo Taktis,"""邃域战术战机"""
Exo Cutter,"""邃域切割战机"""
Day of the Dead Skins,"""亡灵节外观"""
Two-Handed Nikana Maligna Skin,"""双手侍刃 恶性病外观"""
Hecaton Shotgun Skin,"""百臂巨人霰弹枪外观"""
Sigma Series Sugatra,"""西格玛系列坠饰"""
Usage,"""用途"""
Draining Bite,"""吸血噬咬"""
Transfusion,"""血注"""
Vasca Kavat,"""噬血型库娃"""
Description,"""说明"""
Locations,"""位置"""
Exo,"""邃域"""
Ramsled,"""冲锋艇"""
Supressor,"""怒焚镇压者"""
Brachiolyst,"""狂战使"""
Tyro Battalyst,"""初级武装使"""
Tyro Conculyst,"""初级震荡使"""
Elite Kosma Outrider,"""精英深空先驱战机"""
Elite Kosma Flak,"""精英深空高炮战机"""
Elite Kosma Taktis,"""精英深空战术战机"""
Elite Kosma Cutter,"""精英深空切割战机"""
Elite Gyre Outrider,"""精英回旋先驱战机"""
Elite Gyre Flak,"""精英回旋高炮战机"""
Elite Gyre Taktis,"""精英回旋战术战机"""
Elite Exo Outrider,"""精英邃域先驱战机"""
Elite Exo Flak,"""精英邃域高炮战机"""
Elite Exo Taktis,"""精英邃域战术战机"""
Elite Exo Cutter,"""精英邃域切割战机"""
Elite Cutter,"""精英切割战机"""
Elite Outrider,"""精英先驱战机"""
Elite Flak,"""精英高炮战机"""
Elite Taktis,"""精英战术战机"""
Gokstad Pilot,"""高克斯塔飞行员"""
Gokstad Officer,"""高克斯塔军官"""
Raider,"""强袭者"""
Raider Carver,"""强袭切割者"""
Raider Eviscerator,"""强袭开膛者"""
Homing missiles,"""追踪导弹"""
Skirmish,"""前哨战"""
Kosma,"""深空"""
Quick Revive,"""快速复活"""
Revives,"""复活"""
Blite Captain,"""Blite舰长"""
Lektro Commander,"""Lektro指挥官"""
Pyr Captain,"""Pyr舰长"""
Rules,"""规则"""
Arbitration Shield Drones,"""仲裁者神盾无人机"""
Bonuses,"""加成"""
Wil-O-Wisp,"""幻影鬼火"""
Squad Ammo Restore,"""团队弹药补给"""
Squad Health Restore,"""团队生命补给"""
Squad Shield Restore,"""团队护盾补给"""
Squad Energy Restore,"""团队能量补给"""
Cannon Battery,"""加农炮台"""
Tesla Nervos,"""特斯拉电激"""
Vasca Kavat Starter Kit,"""噬血型库娃初心者套装"""
MotherwrenchHammerSkin,"""扳手战锤外观"""
Hek Desert-Camo Skin,"""海克沙漠迷彩外观"""
Limbo Limina Collection,"""Limbo阈限组合包"""
Limbo Limina Skin,"""Limbo阈限外观"""
Tarock Thrown Blade Skin,"""塔罗投掷刀刃外观"""
Countermeasures,"""反制系统"""
Battle Stations,"""战位"""
Death Blossom,"""死亡绽放"""
Predator,"""捕食者"""
Elite Gyre Cutter,"""精英回旋切割战机"""
Blank,"""空模板"""
Stat Variations and Bonuses,"""属性变化和额外加成"""
Subcortex,"""下皮层"""
Empyrean Damage System,"""九重天伤害系统"""
Rare Containers,"""稀有容器"""
Wolf Beacon,"""恶狼信标"""
Grustrag Three,"""Grustrag三霸"""
Zanuka Hunter Beacon,"""Zanuka猎犬信标"""
Grustrag Three Beacon,"""Grustrag三霸信标"""
Stalker Beacon,"""Stalker信标"""
Master Key,"""万能钥匙"""
Lockers,"""储物柜"""
Mod#Mod Rank,"""Mod等级"""
Mod#Attributes,"""Mod容量消耗"""
Hit And Run,"""脚底抹油"""
Failsafe,"""失效保险"""
Blood For Life,"""血易生命"""
Parkour,"""跑酷"""
Devotee,"""拥护者"""
Decoration,"""装饰品"""
Gyre Gokstad Pilot,"""回旋高克斯塔飞行员"""
Exo Gokstad Pilot,"""邃域高克斯塔飞行员"""
Exo Raider Eviscerator,"""邃域强袭开膛者"""
Gyre Raider Eviscerator,"""回旋强袭开膛者"""
Kosma Raider Eviscerator,"""深空强袭开膛者"""
Kosma Supressor,"""深空怒焚镇压者"""
Gyre Supressor,"""回旋怒焚镇压者"""
Exo Supressor,"""邃域怒焚镇压者"""
Kosma Raider,"""深空强袭者"""
Gyre Raider,"""回旋强袭者"""
Exo Raider,"""邃域强袭者"""
Kosma Gokstad Pilot,"""深空高克斯塔飞行员"""
Kosma Gokstad Officer,"""深空高克斯塔军官"""
Gyre Gokstad Officer,"""回旋高克斯塔军官"""
Exo Gokstad Officer,"""邃域高克斯塔军官"""
Demolyst,"""爆破使"""
Demolisher,"""爆破型"""
Demolisher Charger,"""爆破型疾冲者"""
Demolisher Thrasher,"""爆破型奔跳者"""
Demolisher Juggernaut,"""爆破型巨兽"""
Demolisher Boiler,"""爆破型痈裂者"""
Demolisher Devourer,"""爆破型吞噬尸鬼"""
Demolisher Expired,"""爆破型除役尸鬼"""
Demolisher Heavy Gunner,"""爆破型重型机枪手"""
Demolisher Bailiff,"""爆破型执法员"""
Kosma Ramsled,"""深空冲锋艇"""
Gyre Ramsled,"""回旋冲锋艇"""
Exo Ramsled,"""邃域冲锋艇"""
Kosma Gokstad Pilot,"""深空高克斯塔飞行员"""
Alpine Monitor Sawgaw,"""山地巡监梭歌"""
Bau Vasca Kavat,"""博奥噬血型库娃"""
Mergoo,"""秋沙鸟"""
Condor Storm Dropship,"""秃鹫风暴空投艇"""
Corrupted Drone,"""堕落无人机"""
Horrasques,"""惑瓦廝克"""
Dappled Horrasque,"""斑纹惑瓦廝克"""
Decaying Battalyst,"""腐朽武装使"""
Emperor Condroc,"""帝王秃鹰"""
Stover,"""炽托法"""
Fire-Veined Stover,"""火纹炽托法"""
Flossy Sawgaw,"""丝绵梭歌"""
Frogmouthed Sawgaw,"""蛙嘴梭歌"""
Frozen Infested Hive,"""冰冻感染巢囊"""
Fuming Dax Stover,"""发烟禁卫炽托法"""
Gas Infested Hive,"""毒气感染巢囊"""
Ghost Kuaka,"""幽灵库阿卡"""
Stormer Horrasque,"""暴猛惑瓦廝克"""
Lancing Infested Hive,"""切割感染巢囊"""
Nephil Vasca Kavat,"""拿非尔噬血型库娃"""
Ostia Vasca Kavat,"""奥斯蒂亚噬血型库娃"""
Plains Kuaka,"""平野库阿卡"""
Pulsing Infested Hive,"""脉冲感染巢囊"""
Red-Crested Virmink,"""红冠弗鸣克"""
Security Infested Hive,"""安保感染巢囊"""
Sentinel Stover,"""哨兵炽托法"""
Sentient Research Director,"""Sentient 研究主管"""
Stabilization Infested Hive,"""稳定感染巢囊"""
Splendid Mergoo,"""璀璨秋沙鸟"""
Swimmer Horrasque,"""泳将惑瓦廝克"""
Terra Elite Crewman,"""大地精英船员"""
Terra Elite Overtaker,"""大地精英掷弹者"""
Terra Elite Provisor,"""大地精英采办者"""
Terra Elite Trencher,"""大地精英掘沟者"""
Terra Manker,"""大地残害者"""
Woodland Mergoo,"""林地秋沙鸟"""
Undying Flyer,"""不死飞行者"""
Vapos Aquila,"""气雾天鹰"""
Ghoul Expired Deserter,"""除役尸鬼逃兵"""
Ghoul Target,"""尸鬼目标"""
Nullifier Target,"""Corpus虚能捕捉目标"""
Tusk Target,"""巨牙捕获目标"""
Vivisect Director,"""活体解剖主管"""
Glacik Commander,"""Glacik指挥官"""
Omni,"""万用工具"""
Sentient Anomaly,"""Sentient异常事件"""
Tethra Data Fragment,"""泰斯拉数据碎片"""
Tethra Cipher,"""泰斯拉破解器"""
Tethra Shield Cipher,"""泰斯拉护盾破解器"""
Dargyn (Enemy),"""轻型艇"""
Exilus Weapon Adapter,"""武器特殊功能槽连接器"""
Minimap,"""小地图"""
PVE,"""玩家对战环境"""
Immolation,"""浴火献祭"""
Flurry Rose,"""疾风蔷薇"""
Crimson Hurricane,"""绯红飓风"""
Cardinal Breeze,"""深红微风"""
Ruby Wind,"""鲜红之风"""
Leviathan Rain,"""利维坦骤雨"""
Gale Triton,"""狂风海神"""
Lightning Siren,"""闪电塞壬"""
Thunder Hydra,"""雷鸣九头蛇"""
Molten Whirlpool,"""熔融热流"""
Searing Undertow,"""灼热暗流"""
Blazing Vortex,"""炽燃涡流"""
Infernal Maelstrom,"""地狱漩涡"""
Claws of the Drake,"""龙兽之爪"""
Soul of the Leviathan,"""海龙之魂"""
Heart of the Naga,"""龙蛇之心"""
Fangs of the Lindwurm,"""巨龙之牙"""
Scathing Plume,"""毁伤刀羽"""
Razor Fin,"""剃刀鳍翼"""
Serrated Crest,"""锯齿羽冠"""
Cutting Fringe,"""割裂边羽"""
Cutting Poise,"""泰然切割"""
Lancing Justice,"""正义交锋"""
Virtuous Slash,"""美德斩击"""
Equal Laceration,"""均衡撕裂"""
Perfect Cut,"""无双斩"""
Death's Mark,"""死亡标记"""
Weightless Steel,"""身轻如燕"""
Judged Severance,"""断绝审判"""
Falling Oak Buster,"""毁橡暴徒"""
Spinning Crash Technique,"""旋碎之技"""
Cyclone Lightning Strike,"""龙卷怒雷"""
Rolling Boulder Rush,"""滚石疾行"""
Crushing Reach,"""破碎突"""
The Way,"""道"""
Deadly Circle,"""致命循环"""
Guiding Plank,"""点路明灯"""
Wide Dispatch,"""一扫而空"""
Morning Sun,"""晨曦"""
Midnight Cloud,"""午夜乌云"""
Falling Star,"""流星"""
Raging Whirlwind,"""狂暴旋风"""
Tidal Force,"""潮汐之力"""
Shattered Village,"""破碎村落"""
Winding Temper,"""蜿蜒性情"""
Shadow Wing,"""飞掠暗影"""
Many Tears,"""大卸八块"""
Dying Light,"""最后遗愿"""
Rolling Thunder,"""雷霆万钧"""
Spiral Cut,"""螺旋斩"""
Mountain's Chisel,"""泰山錾"""
Resounding Fear,"""恐惧之声"""
Guided Claw,"""引领之爪"""
Sparking Torture,"""火花酷刑"""
Buzzing Sting,"""鸣声蜂刺"""
Whistling Wind,"""暴啸狂风"""
Sky Doom,"""判决之日"""
Lover's Farewell,"""恋人辞别"""
Deceitful Serpent,"""诡诈滑蛇"""
Cunning Monkey,"""狡诈皮猴"""
Strident Gazelle,"""锐捷瞪羚"""
Terrapin's Rebuke,"""恶龟训诫"""
Cutting Thrice,"""斩谷除粒"""
Threshing Grain,"""快狠三斩"""
Calling Thunder,"""招雷唤雨"""
Three Lessons,"""再三教化"""
Butterfly Slash,"""蝶影刀"""
Splitting Brush,"""分裂掠动"""
Scorpion Fall,"""毒蝎降世"""
Fanning Sting,"""疾风蛰"""
Relentless Point,"""无情终结"""
Savage Tiger,"""野虎"""
Lurking Cougar,"""潜伏之眼"""
Lion's Roar,"""雄狮战吼"""
Pincer Strike,"""顺势钳击"""
Cheetah's Guile,"""狡诈猎豹"""
Flash Flurry,"""闪光乱舞"""
Samba Slash,"""桑巴旋切"""
Ocean's Contempt,"""汪洋之鄙"""
Mountain's Rage,"""大山之怒"""
Forest's Remorse,"""森林之悯"""
Vagrant Blight,"""漂泊天灾"""
Cold Vendetta,"""冷血仇杀"""
Baleful Sin,"""恶念之罪"""
Blind Tormentor,"""忘我虐杀"""
Fanning Flame,"""怒火煽动"""
Bright Blaze,"""闪耀圣光"""
Burning Desire,"""欲望燃烧"""
Repair Kit,"""修补套件"""
Discord Sewn,"""龃龉针织"""
Acolytes,"""追随者"""
Serene Storm (Stance),"""宁静风暴（架式）"""
General,"""概况"""
Exilus Weapon Mods,"""武器特殊功能MOD"""
Synopsis,"""剧情梗概"""
Mission Completion Rewards,"""任务完成奖励"""
Captura Scene,"""Captura摄像棚"""
Color Palette,"""调色板"""
Primed Smite Corpus,"""毁灭CorpusPrime"""
Primed Smite Grineer,"""毁灭GrineerPrime"""
Primed Smite Infested,"""毁灭InfestedPrime"""
Primed Smite Corrupted,"""毁灭堕落者Prime"""
Flawed Mods,"""瑕疵的MOD"""
Images,"""图像"""
Requiem Mod,"""安魂MOD"""
Mod Rarity,"""MOD稀有度"""
Alternate Equipment,"""可替换装备"""
Vaultings,"""宝库"""
Paracesis Elixis Skin,"""心智之殁镀铜外观"""
Ignis Towsun Skin,"""伊格尼斯夏至外观"""
Luxxum Ornaments,"""乐升饰物"""
Floofs,"""玩偶"""
Domestik Drone,"""内务无人机"""
Fish Trophies,"""奖杯"""
Requiem Murmurs,"""安魂密语"""
Kuva Thralls,"""玄骸奴仆"""
Kuva Weapons,"""赤毒武器"""
Tenebrous,"""阴暗幻纹"""
Balefire Surge,"""野火涌流"""
Endless Lullaby,"""无尽催眠曲"""
Reactive Storm,"""响应风暴"""
Blood Forge,"""祭血锻造"""
Nakak Pearls,"""Nakak珍珠"""
Master Teasonai,"""大师 Teasonai"""
Ayatan Treasures,"""阿耶檀识宝物"""
Ayatan Star,"""阿耶檀识星星"""
Synthesis Targets,"""结合仪式目标"""
Weaponry,"""武器"""
Erra (Character),"""Erra"""
Orokin Era,"""Orokin时代"""
Warframe Era,"""Warframe时代"""
History,"""历史"""
Main Story,"""主线故事"""
Tenno's Awakening,"""Tenno觉醒"""
The Lotus' Disappearance,"""Lotus的消失"""
The Zanuka Project,"""Zanuka计划"""
Chroma Mark,"""Chroma印记"""
Chroma Signal,"""Chroma标志"""
Scorched Beacon,"""焦灼信标"""
The New Strange/Chroma Mark,"""Chroma印记"""
The New Strange/Chroma Signal,"""Chroma标志"""
The New Strange/Scorched Beacon,"""焦灼信标"""
Options,"""设置"""
Runway,"""滑道"""
Highbrow,"""学究"""
Two-Sloops,"""双桅"""
Thugs,"""恶棍"""
Scrawl,"""涂鸦"""
Others,"""其他"""
MOA (Companion),"""恐鸟同伴"""
Veil,"""面纱"""
Kuva (Resource),"""赤毒"""
Continuity (Lore),"""延续仪式"""
Eradicysts,"""根绝使"""
Requiem Relic,"""安魂遗物"""
Kuva (Variant),"""赤毒（变体）"""
Kuva Larvling,"""赤毒幼体"""
Isos,"""修复凝液"""
Pathocyst Blade,"""病囊飞刃刀刃"""
Pathocyst Subcortex,"""病囊飞刃下皮层"""
Zealot Derelict Code,"""狂热者遗迹密码"""
To Take Its Pain Away,"""抚平伤痛"""
Your Creator,"""你的造物主"""
Wukong Samadhi Collection,"""Wukong三摩提组合包"""
Meteor Whip Skin,"""流星鞭外观"""
Wukong Samadhi Skin,"""Wukong三摩提外观"""
Excalibur Zato Collection,"""Excalibur盲侠组合包"""
Zato Sugatra,"""盲侠坠饰"""
Excalibur Zato Skin,"""Excalibur盲侠外观"""
Oku Nikana Skin,"""大奥侍刃外观"""
Dominion Heavy Blade Skin,"""巨刃君权外观"""
Motherwrench Hammer Skin,"""扳手战锤外观"""
Ringers,"""响叮当外观"""
Renuntio Speargun Skin,"""弃绝标枪外观"""
Etheria Armor set,"""以希利亚护甲套装"""
CritChance,"""暴击率"""
CritMultiplier,"""暴击倍率"""
StatusChance,"""触发率"""
FireRate,"""攻击速度"""
ChargeTime,"""蓄力时间"""
Equinox Antonym Skin,"""Equinox悖异外观"""
Two-Handed Nikana,"""双手侍刃"""
Judicial Oculus,"""审判眼饰"""
Mending Shot,"""补愈射击"""
Condrix,"""谍影登陆舰"""
Alamos Sniper Skin,"""阿拉莫斯狙击枪外观"""
Nova Atomica Skin,"""Nova原子姬外观"""
Radia Syandana,"""乐光披饰"""
Nova Atomica Collection,"""Nova原子姬组合包"""
Anu Mantalysts,"""安努劫持使"""
Anu Interference Drones,"""安努干扰无人机"""
Anu Mantalyst,"""安努劫持使"""
Anu Interference Drone,"""安努干扰无人机"""
Scarlet Credit,"""猩红代币"""
Immunode,"""免伤结节"""
Gyrix,"""螺旋战机"""
Ionix,"""离子战机"""
Ionyx,"""离子战机"""
Mote Amp,"""微尘增幅器"""
Tesla Bank,"""特斯拉电容"""
Aerolyst,"""空飞使"""
Preparation,"""有备而来"""
Photon Repeater,"""光子续能器"""
 Controlled Slide,"""平稳滑步"""
Anchored Glide,"""聚精滑翔"""
Ironclad Flight,"""铁甲翱翔"""
Controlled Slide,"""平稳滑步"""
Equinox Antonym Collection,"""Equinox悖异组合包"""
Cicada Prime Archwing Skin,"""金蝉PrimeArchwing外观"""
Gigelorum Prime Syandana,"""灵蝶Prime披饰"""
Veil Caches,"""面纱贮藏箱"""
Chest Plate,"""胸甲"""
Shoulder Guard,"""肩甲"""
Leg Guard,"""腿甲"""
Anasa Ayatan Prime,"""Anasa阿耶檀识Prime"""
Apavada Prime Syandana,"""阿帕瓦哒Prime披饰"""
Anasa Ayatan Prime Armor,"""Anasa阿耶檀识Prime护甲"""
Astreos Sword and Shield Skin,"""星辰剑盾外观"""
Titania Empress Collection,"""Titania女皇组合包"""
Dendrite Gunblade Skin,"""树突枪刃外观"""
Requiem,"""安魂"""
Ivara Skathi Skin,"""Ivara冬之女神外观"""
Aerial Ace,"""空中制霸"""
Energizing Shot,"""充沛射击"""
Catapult,"""肉弹发射"""
Spellbound Harvest,"""迷尘丰益"""
Tribunal,"""责难裁决"""
Blazing Pillage,"""炽燃劫掠"""
Text Icons,"""文本图标"""
Rarity,"""稀有度"""
Nyx Pasithea Helmet,"""Nyx幻觉女神头盔"""
Nyx Pasithea Skin,"""Nyx幻觉女神外观"""
Dali Ballistica Skin,"""达利布里斯提卡外观"""
Ivara Skathi Collection,"""Ivara冬之女神组合包"""
Ionic,"""离子"""
Incendiary,"""燃烧"""
Chem,"""化学"""
Plasma,"""等离子"""
Particle,"""粒子"""
Titania Empress Skin,"""Titania女皇外观"""
Gyre Eviscerator,"""回旋开膛者"""
Ballista Measure,"""弩炮测距"""
Deadly Maneuvers,"""致命机动"""
Dizzying Rounds,"""晕眩弹药"""
Precision Strike,"""精准打击"""
Nightwave (Landing Craft),"""午夜电波(登陆艇)"""
Abundant Mutation,"""增生突变"""
Rubble Heap,"""碎石堆叠"""
Revealing Spores,"""显形孢子"""
Enraged,"""狂化震怒"""
Vapos Sapping Osprey,"""气雾基蚀鱼鹰"""
Flechette Orb,"""飞掷丸击"""
Vector Pad,"""疾锋矢量"""
Overdriver,"""超载激发"""
Tether Coil,"""桎梏线圈"""
Vapos Fusion Moa,"""气雾融合恐鸟"""
Demolisher Machinist,"""爆破型机械师"""
Demolisher Bursa,"""爆破型金流恐鸟"""
Demolisher Hyena,"""爆破型鬣狗"""
Demolisher Anti Moa,"""爆破型逆进恐鸟"""
Active,"""手动引爆"""
Primary,"""主要"""
Secondary,"""次要"""
Grenade Fan,"""手雷散射"""
Blaze Artillery,"""炽烈炮击"""
Dispensary,"""后勤支援"""
Temporal Anchor,"""时泊之锚"""
Hard Engage,"""以硬碰硬"""
Isolating Charge,"""孤离冲锋"""
Granum Void,"""格拉努虚空"""
Parvos Granum,"""帕尔沃斯•格拉努"""
Nychus,"""尼丘斯"""
Granum Crown,"""格拉努硬币"""
Treasurer,"""司库"""
The Deadlock Protocol,"""僵局协议"""
Errant Specter,"""游荡魅影"""
Exemplar Granum Crown,"""范本格拉努硬币"""
Zenith Granum Crown,"""顶级格拉努硬币"""
Granum Crown Decoration,"""格拉努硬币装饰"""
Corpus Ship Bridge Scene,"""Corpus舰桥场景"""
Extended Granum Void,"""扩展格拉努虚空"""
Nightmare Granum Void,"""噩梦格拉努虚空"""
Zenith Granum Crown Decoration,"""顶级格拉努硬币装饰"""
Exemplar Granum Crown Decoration,"""范本格拉努硬币装饰"""
Corpus Ship Hangar Scene,"""Corpus 船舰库场景"""
Corpus Ship Orbital Cannon Scene,"""Corpus 船舰追踪炮场景"""
Mortuus Shoulder Guard,"""亡者护肩"""
Helstrum,"""赫尔斯壮"""
Blast Shield,"""爆破护盾"""
Vapos Elite Crewman,"""气雾精英船员"""
Vapos Nullifier,"""气雾虚能船员"""
Vapos Sniper Ranger,"""气雾狙击手突击队员"""
Vapos Detron Ranger,"""气雾德特昂突击队员"""
Vapos Sniper Crewman,"""气雾狙击手船员"""
Vapos Nullifier Ranger,"""气雾虚能突击队员"""
Vapos Elite Ranger,"""气雾精英突击队员"""
Raptor Rv,"""猛禽RV"""
Vapos Bioengineer,"""气雾生物工程师"""
Juno Fog Comba,"""朱诺迷雾驱逐员"""
Juno Nul Comba,"""朱诺虚无驱逐员"""
Juno Sap Comba,"""朱诺衰竭驱逐员"""
Juno Slo Comba,"""朱诺滞缓驱逐员"""
Juno Nullifier Crewman,"""朱诺虚能船员"""
Juno Sniper Crewman,"""朱诺狙击手船员"""
Vapos Anti Moa,"""气雾逆进恐鸟"""
Vapos Tech,"""气雾技师"""
Raptor Rv,"""猛禽Rv"""
Raptor Mt,"""猛禽Mt"""
